 == BEGINING OF EXECUTION == 



Addresses file: 			files/addresses.txt
Frames Quantity: 			8
Page Replacement Algorithm: 	FIFO



Endereço virtual: 16916 | Endereço físico:    20 | Conteúdo: 0
Endereço virtual: 62493 | Endereço físico:   285 | Conteúdo: 0
Endereço virtual: 30198 | Endereço físico:   758 | Conteúdo: 29
Endereço virtual: 53683 | Endereço físico:   947 | Conteúdo: 108
Endereço virtual: 40185 | Endereço físico:  1273 | Conteúdo: 0
Endereço virtual: 28781 | Endereço físico:  1389 | Conteúdo: 0
Endereço virtual: 24462 | Endereço físico:  1678 | Conteúdo: 23
Endereço virtual: 48399 | Endereço físico:  1807 | Conteúdo: 67
Endereço virtual: 64815 | Endereço físico:    47 | Conteúdo: 75
Endereço virtual: 18295 | Endereço físico:   375 | Conteúdo: 221
Endereço virtual: 12218 | Endereço físico:   698 | Conteúdo: 11
Endereço virtual: 22760 | Endereço físico:  1000 | Conteúdo: 0
Endereço virtual: 57982 | Endereço físico:  1150 | Conteúdo: 56
Endereço virtual: 27966 | Endereço físico:  1342 | Conteúdo: 27
Endereço virtual: 54894 | Endereço físico:  1646 | Conteúdo: 53
Endereço virtual: 38929 | Endereço físico:  1809 | Conteúdo: 0
Endereço virtual: 32865 | Endereço físico:    97 | Conteúdo: 0
Endereço virtual: 64243 | Endereço físico:   499 | Conteúdo: 188
Endereço virtual:  2315 | Endereço físico:   523 | Conteúdo: 66
Endereço virtual: 64454 | Endereço físico:   966 | Conteúdo: 62
Endereço virtual: 55041 | Endereço físico:  1025 | Conteúdo: 0
Endereço virtual: 18633 | Endereço físico:  1481 | Conteúdo: 0
Endereço virtual: 14557 | Endereço físico:  1757 | Conteúdo: 0
Endereço virtual: 61006 | Endereço físico:  1870 | Conteúdo: 59
Endereço virtual: 62615 | Endereço físico:   151 | Conteúdo: 37
Endereço virtual:  7591 | Endereço físico:   423 | Conteúdo: 105
Endereço virtual: 64747 | Endereço físico:   747 | Conteúdo: 58
Endereço virtual:  6727 | Endereço físico:   839 | Conteúdo: 145
Endereço virtual: 32315 | Endereço físico:  1083 | Conteúdo: 142
Endereço virtual: 60645 | Endereço físico:  1509 | Conteúdo: 0
Endereço virtual:  6308 | Endereço físico:  1700 | Conteúdo: 0
Endereço virtual: 45688 | Endereço físico:  1912 | Conteúdo: 0
Endereço virtual:   969 | Endereço físico:   201 | Conteúdo: 0
Endereço virtual: 40891 | Endereço físico:   443 | Conteúdo: 238
Endereço virtual: 49294 | Endereço físico:   654 | Conteúdo: 48
Endereço virtual: 41118 | Endereço físico:   926 | Conteúdo: 40
Endereço virtual: 21395 | Endereço físico:  1171 | Conteúdo: 228
Endereço virtual:  6091 | Endereço físico:  1483 | Conteúdo: 242
Endereço virtual: 32541 | Endereço físico:  1565 | Conteúdo: 0
Endereço virtual: 17665 | Endereço físico:  1793 | Conteúdo: 0
Endereço virtual:  3784 | Endereço físico:   200 | Conteúdo: 0
Endereço virtual: 28718 | Endereço físico:   302 | Conteúdo: 28
Endereço virtual: 59240 | Endereço físico:   616 | Conteúdo: 0
Endereço virtual: 40178 | Endereço físico:  1010 | Conteúdo: 39
Endereço virtual: 60086 | Endereço físico:  1206 | Conteúdo: 58
Endereço virtual: 42252 | Endereço físico:  1292 | Conteúdo: 0
Endereço virtual: 44770 | Endereço físico:  1762 | Conteúdo: 43
Endereço virtual: 22514 | Endereço físico:  2034 | Conteúdo: 21
Endereço virtual:  3067 | Endereço físico:   251 | Conteúdo: 254
Endereço virtual: 15757 | Endereço físico:   397 | Conteúdo: 0
Endereço virtual: 31649 | Endereço físico:   673 | Conteúdo: 0
Endereço virtual: 10842 | Endereço físico:   858 | Conteúdo: 10
Endereço virtual: 43765 | Endereço físico:  1269 | Conteúdo: 0
Endereço virtual: 33405 | Endereço físico:  1405 | Conteúdo: 0
Endereço virtual: 44954 | Endereço físico:  1690 | Conteúdo: 43
Endereço virtual: 56657 | Endereço físico:  1873 | Conteúdo: 0
Endereço virtual:  5003 | Endereço físico:   139 | Conteúdo: 226
Endereço virtual: 50227 | Endereço físico:   307 | Conteúdo: 12
Endereço virtual: 19358 | Endereço físico:   670 | Conteúdo: 18
Endereço virtual: 36529 | Endereço físico:   945 | Conteúdo: 0
Endereço virtual: 10392 | Endereço físico:  1176 | Conteúdo: 0
Endereço virtual: 58882 | Endereço físico:  1282 | Conteúdo: 57
Endereço virtual:  5129 | Endereço físico:  1545 | Conteúdo: 0
Endereço virtual: 58554 | Endereço físico:  1978 | Conteúdo: 57
Endereço virtual: 58584 | Endereço físico:  2008 | Conteúdo: 0
Endereço virtual: 27444 | Endereço físico:    52 | Conteúdo: 0
Endereço virtual: 58982 | Endereço físico:  1382 | Conteúdo: 57
Endereço virtual: 51476 | Endereço físico:   276 | Conteúdo: 0
Endereço virtual:  6796 | Endereço físico:   652 | Conteúdo: 0
Endereço virtual: 21311 | Endereço físico:   831 | Conteúdo: 207
Endereço virtual: 30705 | Endereço físico:  1265 | Conteúdo: 0
Endereço virtual: 28964 | Endereço físico:  1316 | Conteúdo: 0
Endereço virtual: 41003 | Endereço físico:  1579 | Conteúdo: 10
Endereço virtual: 20259 | Endereço físico:  1827 | Conteúdo: 200
Endereço virtual: 57857 | Endereço físico:     1 | Conteúdo: 0
Endereço virtual: 63258 | Endereço físico:   282 | Conteúdo: 61
Endereço virtual: 36374 | Endereço físico:   534 | Conteúdo: 35
Endereço virtual:   692 | Endereço físico:   948 | Conteúdo: 0
Endereço virtual: 43121 | Endereço físico:  1137 | Conteúdo: 0
Endereço virtual: 48128 | Endereço físico:  1280 | Conteúdo: 0
Endereço virtual: 34561 | Endereço físico:  1537 | Conteúdo: 0
Endereço virtual: 49213 | Endereço físico:  1853 | Conteúdo: 0
Endereço virtual: 36922 | Endereço físico:    58 | Conteúdo: 36
Endereço virtual: 59162 | Endereço físico:   282 | Conteúdo: 57
Endereço virtual: 50552 | Endereço físico:   632 | Conteúdo: 0
Endereço virtual: 17866 | Endereço físico:   970 | Conteúdo: 17
Endereço virtual: 18145 | Endereço físico:  1249 | Conteúdo: 0
Endereço virtual:  3884 | Endereço físico:  1324 | Conteúdo: 0
Endereço virtual: 54388 | Endereço físico:  1652 | Conteúdo: 0
Endereço virtual: 42932 | Endereço físico:  1972 | Conteúdo: 0
Endereço virtual: 46919 | Endereço físico:    71 | Conteúdo: 209
Endereço virtual: 58892 | Endereço físico:   268 | Conteúdo: 0
Endereço virtual:  8620 | Endereço físico:   684 | Conteúdo: 0
Endereço virtual: 38336 | Endereço físico:   960 | Conteúdo: 0
Endereço virtual: 64357 | Endereço físico:  1125 | Conteúdo: 0
Endereço virtual: 23387 | Endereço físico:  1371 | Conteúdo: 214
Endereço virtual: 42632 | Endereço físico:  1672 | Conteúdo: 0
Endereço virtual: 15913 | Endereço físico:  1833 | Conteúdo: 0
Endereço virtual: 15679 | Endereço físico:    63 | Conteúdo: 79
Endereço virtual: 22501 | Endereço físico:   485 | Conteúdo: 0
Endereço virtual: 37540 | Endereço físico:   676 | Conteúdo: 0
Endereço virtual:  5527 | Endereço físico:   919 | Conteúdo: 101
Endereço virtual: 63921 | Endereço físico:  1201 | Conteúdo: 0
Endereço virtual: 62716 | Endereço físico:  1532 | Conteúdo: 0
Endereço virtual: 32874 | Endereço físico:  1642 | Conteúdo: 32
Endereço virtual: 64390 | Endereço físico:  1926 | Conteúdo: 62
Endereço virtual: 63101 | Endereço físico:   125 | Conteúdo: 0
Endereço virtual: 61802 | Endereço físico:   362 | Conteúdo: 60
Endereço virtual: 19648 | Endereço físico:   704 | Conteúdo: 0
Endereço virtual: 29031 | Endereço físico:   871 | Conteúdo: 89
Endereço virtual: 44981 | Endereço físico:  1205 | Conteúdo: 0
Endereço virtual: 28092 | Endereço físico:  1468 | Conteúdo: 0
Endereço virtual:  9448 | Endereço físico:  1768 | Conteúdo: 0
Endereço virtual: 44744 | Endereço físico:  1992 | Conteúdo: 0
Endereço virtual: 61496 | Endereço físico:    56 | Conteúdo: 0
Endereço virtual: 31453 | Endereço físico:   477 | Conteúdo: 0
Endereço virtual: 60746 | Endereço físico:   586 | Conteúdo: 59
Endereço virtual: 12199 | Endereço físico:   935 | Conteúdo: 233
Endereço virtual: 62255 | Endereço físico:  1071 | Conteúdo: 203
Endereço virtual: 21793 | Endereço físico:  1313 | Conteúdo: 0
Endereço virtual: 26544 | Endereço físico:  1712 | Conteúdo: 0
Endereço virtual: 14964 | Endereço físico:  1908 | Conteúdo: 0
Endereço virtual: 41462 | Endereço físico:   246 | Conteúdo: 40
Endereço virtual: 56089 | Endereço físico:   281 | Conteúdo: 0
Endereço virtual: 52038 | Endereço físico:   582 | Conteúdo: 50
Endereço virtual: 47982 | Endereço físico:   878 | Conteúdo: 46
Endereço virtual: 59484 | Endereço físico:  1116 | Conteúdo: 0
Endereço virtual: 50924 | Endereço físico:  1516 | Conteúdo: 0
Endereço virtual:  6942 | Endereço físico:  1566 | Conteúdo: 6
Endereço virtual: 34998 | Endereço físico:  1974 | Conteúdo: 34
Endereço virtual: 27069 | Endereço físico:   189 | Conteúdo: 0
Endereço virtual: 51926 | Endereço físico:   470 | Conteúdo: 50
Endereço virtual: 60645 | Endereço físico:   741 | Conteúdo: 0
