 == BEGINING OF EXECUTION == 



Endereço virtual: 16916 | Endereço físico:    20 | Conteúdo: 0
Endereço virtual: 62493 | Endereço físico:   285 | Conteúdo: 0
Endereço virtual: 30198 | Endereço físico:   758 | Conteúdo: 29
Endereço virtual: 53683 | Endereço físico:   947 | Conteúdo: 108
Endereço virtual: 40185 | Endereço físico:  1273 | Conteúdo: 0
Endereço virtual: 28781 | Endereço físico:  1389 | Conteúdo: 0
Endereço virtual: 24462 | Endereço físico:  1678 | Conteúdo: 23
Endereço virtual: 48399 | Endereço físico:  1807 | Conteúdo: 67
Endereço virtual: 64815 | Endereço físico:  2095 | Conteúdo: 75
Endereço virtual: 18295 | Endereço físico:  2423 | Conteúdo: 221
Endereço virtual: 12218 | Endereço físico:  2746 | Conteúdo: 11
Endereço virtual: 22760 | Endereço físico:  3048 | Conteúdo: 0
Endereço virtual: 57982 | Endereço físico:  3198 | Conteúdo: 56
Endereço virtual: 27966 | Endereço físico:  3390 | Conteúdo: 27
Endereço virtual: 54894 | Endereço físico:  3694 | Conteúdo: 53
Endereço virtual: 38929 | Endereço físico:  3857 | Conteúdo: 0
Endereço virtual: 32865 | Endereço físico:  4193 | Conteúdo: 0
Endereço virtual: 64243 | Endereço físico:  4595 | Conteúdo: 188
Endereço virtual:  2315 | Endereço físico:  4619 | Conteúdo: 66
Endereço virtual: 64454 | Endereço físico:  5062 | Conteúdo: 62
Endereço virtual: 55041 | Endereço físico:  5121 | Conteúdo: 0
Endereço virtual: 18633 | Endereço físico:  5577 | Conteúdo: 0
Endereço virtual: 14557 | Endereço físico:  5853 | Conteúdo: 0
Endereço virtual: 61006 | Endereço físico:  5966 | Conteúdo: 59
Endereço virtual: 62615 | Endereço físico:   407 | Conteúdo: 37
Endereço virtual:  7591 | Endereço físico:  6311 | Conteúdo: 105
Endereço virtual: 64747 | Endereço físico:  6635 | Conteúdo: 58
Endereço virtual:  6727 | Endereço físico:  6727 | Conteúdo: 145
Endereço virtual: 32315 | Endereço físico:  6971 | Conteúdo: 142
Endereço virtual: 60645 | Endereço físico:  7397 | Conteúdo: 0
Endereço virtual:  6308 | Endereço físico:  7588 | Conteúdo: 0
Endereço virtual: 45688 | Endereço físico:  7800 | Conteúdo: 0
Endereço virtual:   969 | Endereço físico:  8137 | Conteúdo: 0
Endereço virtual: 40891 | Endereço físico:  8379 | Conteúdo: 238
Endereço virtual: 49294 | Endereço físico:  8590 | Conteúdo: 48
Endereço virtual: 41118 | Endereço físico:  8862 | Conteúdo: 40
Endereço virtual: 21395 | Endereço físico:  9107 | Conteúdo: 228
Endereço virtual:  6091 | Endereço físico:  9419 | Conteúdo: 242
Endereço virtual: 32541 | Endereço físico:  9501 | Conteúdo: 0
Endereço virtual: 17665 | Endereço físico:  9729 | Conteúdo: 0
Endereço virtual:  3784 | Endereço físico: 10184 | Conteúdo: 0
Endereço virtual: 28718 | Endereço físico:  1326 | Conteúdo: 28
Endereço virtual: 59240 | Endereço físico: 10344 | Conteúdo: 0
Endereço virtual: 40178 | Endereço físico:  1266 | Conteúdo: 39
Endereço virtual: 60086 | Endereço físico: 10678 | Conteúdo: 58
Endereço virtual: 42252 | Endereço físico: 10764 | Conteúdo: 0
Endereço virtual: 44770 | Endereço físico: 11234 | Conteúdo: 43
Endereço virtual: 22514 | Endereço físico: 11506 | Conteúdo: 21
Endereço virtual:  3067 | Endereço físico: 11771 | Conteúdo: 254
Endereço virtual: 15757 | Endereço físico: 11917 | Conteúdo: 0
Endereço virtual: 31649 | Endereço físico: 12193 | Conteúdo: 0
Endereço virtual: 10842 | Endereço físico: 12378 | Conteúdo: 10
Endereço virtual: 43765 | Endereço físico: 12789 | Conteúdo: 0
Endereço virtual: 33405 | Endereço físico: 12925 | Conteúdo: 0
Endereço virtual: 44954 | Endereço físico: 13210 | Conteúdo: 43
Endereço virtual: 56657 | Endereço físico: 13393 | Conteúdo: 0
Endereço virtual:  5003 | Endereço físico: 13707 | Conteúdo: 226
Endereço virtual: 50227 | Endereço físico: 13875 | Conteúdo: 12
Endereço virtual: 19358 | Endereço físico: 14238 | Conteúdo: 18
Endereço virtual: 36529 | Endereço físico: 14513 | Conteúdo: 0
Endereço virtual: 10392 | Endereço físico: 14744 | Conteúdo: 0
Endereço virtual: 58882 | Endereço físico: 14850 | Conteúdo: 57
Endereço virtual:  5129 | Endereço físico: 15113 | Conteúdo: 0
Endereço virtual: 58554 | Endereço físico: 15546 | Conteúdo: 57
Endereço virtual: 58584 | Endereço físico: 15576 | Conteúdo: 0
Endereço virtual: 27444 | Endereço físico: 15668 | Conteúdo: 0
Endereço virtual: 58982 | Endereço físico: 14950 | Conteúdo: 57
Endereço virtual: 51476 | Endereço físico: 15892 | Conteúdo: 0
Endereço virtual:  6796 | Endereço físico:  6796 | Conteúdo: 0
Endereço virtual: 21311 | Endereço físico:  9023 | Conteúdo: 207
Endereço virtual: 30705 | Endereço físico: 16369 | Conteúdo: 0
Endereço virtual: 28964 | Endereço físico: 16420 | Conteúdo: 0
Endereço virtual: 41003 | Endereço físico:  8747 | Conteúdo: 10
Endereço virtual: 20259 | Endereço físico: 16675 | Conteúdo: 200
Endereço virtual: 57857 | Endereço físico:  3073 | Conteúdo: 0
Endereço virtual: 63258 | Endereço físico: 16922 | Conteúdo: 61
Endereço virtual: 36374 | Endereço físico: 14358 | Conteúdo: 35
Endereço virtual:   692 | Endereço físico: 17332 | Conteúdo: 0
Endereço virtual: 43121 | Endereço físico: 17521 | Conteúdo: 0
Endereço virtual: 48128 | Endereço físico: 17664 | Conteúdo: 0
Endereço virtual: 34561 | Endereço físico: 17921 | Conteúdo: 0
Endereço virtual: 49213 | Endereço físico:  8509 | Conteúdo: 0
Endereço virtual: 36922 | Endereço físico: 18234 | Conteúdo: 36
Endereço virtual: 59162 | Endereço físico: 10266 | Conteúdo: 57
Endereço virtual: 50552 | Endereço físico: 18552 | Conteúdo: 0
Endereço virtual: 17866 | Endereço físico:  9930 | Conteúdo: 17
Endereço virtual: 18145 | Endereço físico: 18913 | Conteúdo: 0
Endereço virtual:  3884 | Endereço físico: 18988 | Conteúdo: 0
Endereço virtual: 54388 | Endereço físico: 19316 | Conteúdo: 0
Endereço virtual: 42932 | Endereço físico: 19636 | Conteúdo: 0
Endereço virtual: 46919 | Endereço físico: 19783 | Conteúdo: 209
Endereço virtual: 58892 | Endereço físico: 14860 | Conteúdo: 0
Endereço virtual:  8620 | Endereço físico: 20140 | Conteúdo: 0
Endereço virtual: 38336 | Endereço físico: 20416 | Conteúdo: 0
Endereço virtual: 64357 | Endereço físico:  4965 | Conteúdo: 0
Endereço virtual: 23387 | Endereço físico: 20571 | Conteúdo: 214
Endereço virtual: 42632 | Endereço físico: 20872 | Conteúdo: 0
Endereço virtual: 15913 | Endereço físico: 21033 | Conteúdo: 0
Endereço virtual: 15679 | Endereço físico: 11839 | Conteúdo: 79
Endereço virtual: 22501 | Endereço físico: 11493 | Conteúdo: 0
Endereço virtual: 37540 | Endereço físico: 21412 | Conteúdo: 0
Endereço virtual:  5527 | Endereço físico: 21655 | Conteúdo: 101
Endereço virtual: 63921 | Endereço físico: 21937 | Conteúdo: 0
Endereço virtual: 62716 | Endereço físico:   508 | Conteúdo: 0
Endereço virtual: 32874 | Endereço físico:  4202 | Conteúdo: 32
Endereço virtual: 64390 | Endereço físico:  4998 | Conteúdo: 62
Endereço virtual: 63101 | Endereço físico: 22141 | Conteúdo: 0
Endereço virtual: 61802 | Endereço físico: 22378 | Conteúdo: 60
Endereço virtual: 19648 | Endereço físico: 22720 | Conteúdo: 0
Endereço virtual: 29031 | Endereço físico: 16487 | Conteúdo: 89
Endereço virtual: 44981 | Endereço físico: 13237 | Conteúdo: 0
Endereço virtual: 28092 | Endereço físico:  3516 | Conteúdo: 0
Endereço virtual:  9448 | Endereço físico: 23016 | Conteúdo: 0
Endereço virtual: 44744 | Endereço físico: 11208 | Conteúdo: 0
Endereço virtual: 61496 | Endereço físico: 23096 | Conteúdo: 0
Endereço virtual: 31453 | Endereço físico: 23517 | Conteúdo: 0
Endereço virtual: 60746 | Endereço físico: 23626 | Conteúdo: 59
Endereço virtual: 12199 | Endereço físico:  2727 | Conteúdo: 233
Endereço virtual: 62255 | Endereço físico: 23855 | Conteúdo: 203
Endereço virtual: 21793 | Endereço físico: 24097 | Conteúdo: 0
Endereço virtual: 26544 | Endereço físico: 24496 | Conteúdo: 0
Endereço virtual: 14964 | Endereço físico: 24692 | Conteúdo: 0
Endereço virtual: 41462 | Endereço físico: 25078 | Conteúdo: 40
Endereço virtual: 56089 | Endereço físico: 25113 | Conteúdo: 0
Endereço virtual: 52038 | Endereço físico: 25414 | Conteúdo: 50
Endereço virtual: 47982 | Endereço físico: 25710 | Conteúdo: 46
Endereço virtual: 59484 | Endereço físico: 25948 | Conteúdo: 0
Endereço virtual: 50924 | Endereço físico: 26348 | Conteúdo: 0
Endereço virtual:  6942 | Endereço físico: 26398 | Conteúdo: 6
Endereço virtual: 34998 | Endereço físico: 26806 | Conteúdo: 34
Endereço virtual: 27069 | Endereço físico: 27069 | Conteúdo: 0
Endereço virtual: 51926 | Endereço físico: 27350 | Conteúdo: 50
Endereço virtual: 60645 | Endereço físico:  7397 | Conteúdo: 0
